dataset,method,depth,n_trials,tune_val,test_acc,test_std,val_acc,num_seeds,params
pokec,HNHNII,8,30,61.29,59.32,0.48,61.10,10,"{'lr': 0.05, 'wd': 1e-05, 'dropout': 0.30000000000000004, 'MLP_hidden': 64, 'HNHN_alpha': 0.0, 'HNHN_beta': -0.5, 'restart_alpha': 0.35000000000000003, 'lamda': 2.0}"
pokec,HNHN,16,30,52.10,50.75,0.92,51.22,10,"{'lr': 0.05, 'wd': 0.001, 'dropout': 0.2, 'MLP_hidden': 256, 'HNHN_alpha': 0.0, 'HNHN_beta': -1.0}"
pokec,HNHN,2,30,60.59,58.86,0.81,60.39,10,"{'lr': 0.005, 'wd': 0.0, 'dropout': 0.30000000000000004, 'MLP_hidden': 64, 'HNHN_alpha': -1.0, 'HNHN_beta': 0.0}"
pokec,HNHN,32,29,50.77,50.62,0.69,50.77,10,"{'lr': 0.005, 'wd': 0.001, 'dropout': 0.4, 'MLP_hidden': 128, 'HNHN_alpha': -1.5, 'HNHN_beta': -1.0}"
pokec,HNHN,4,30,60.29,58.59,0.66,59.91,10,"{'lr': 0.001, 'wd': 1e-05, 'dropout': 0.30000000000000004, 'MLP_hidden': 512, 'HNHN_alpha': -1.0, 'HNHN_beta': -1.0}"
pokec,HNHN,64,11,50.77,50.62,0.69,50.77,10,"{'lr': 0.005, 'wd': 0.001, 'dropout': 0.30000000000000004, 'MLP_hidden': 64, 'HNHN_alpha': -1.5, 'HNHN_beta': 0.0}"
pokec,HNHN,8,30,58.04,56.08,2.64,56.28,10,"{'lr': 0.005, 'wd': 0.0, 'dropout': 0.2, 'MLP_hidden': 512, 'HNHN_alpha': 0.0, 'HNHN_beta': -1.0}"
pokec,HyperGCNII,16,28,61.12,59.01,0.72,61.12,10,"{'lr': 0.1, 'wd': 1e-05, 'dropout': 0.6000000000000001, 'MLP_hidden': 256, 'restart_alpha': 0.4, 'lamda': 2.0, 'HyperGCN_lazy': True}"
pokec,HyperGCNII,2,30,61.13,59.05,0.63,61.13,10,"{'lr': 0.1, 'wd': 1e-05, 'dropout': 0.6000000000000001, 'MLP_hidden': 64, 'restart_alpha': 0.3, 'lamda': 0.5, 'HyperGCN_lazy': True}"
pokec,HyperGCNII,32,21,60.94,59.29,0.73,60.94,10,"{'lr': 0.1, 'wd': 1e-05, 'dropout': 0.5, 'MLP_hidden': 256, 'restart_alpha': 0.4, 'lamda': 1.0, 'HyperGCN_lazy': True}"
pokec,HyperGCNII,4,30,60.93,59.08,0.57,60.93,10,"{'lr': 0.01, 'wd': 0.0, 'dropout': 0.7, 'MLP_hidden': 256, 'restart_alpha': 0.5, 'lamda': 0.5, 'HyperGCN_lazy': True}"
pokec,HyperGCNII,64,2,60.00,58.71,0.79,60.00,10,"{'lr': 0.005, 'wd': 0.001, 'dropout': 0.4, 'MLP_hidden': 128, 'restart_alpha': 0.45, 'lamda': 1.0, 'HyperGCN_lazy': False}"
pokec,HyperGCNII,8,30,61.30,59.21,0.86,61.30,10,"{'lr': 0.1, 'wd': 0.0, 'dropout': 0.7, 'MLP_hidden': 256, 'restart_alpha': 0.5, 'lamda': 2.0, 'HyperGCN_lazy': True}"
pokec,HyperGCN,16,30,51.58,51.82,1.41,51.58,10,"{'lr': 0.001, 'wd': 0.0, 'dropout': 0.2, 'MLP_hidden': 128}"
pokec,HyperGCN,2,30,60.46,58.55,0.60,60.46,10,"{'lr': 0.1, 'wd': 0.0001, 'dropout': 0.30000000000000004, 'MLP_hidden': 128}"
